,idx,src,mt,type
878880,885952,"Hervorgehoben sind die Kokosnuancen, trockene Tannine und Waldsträucher.","Cocosnu opportunities, dry tannins and forest bushes are highlighted.",TO ANNOTATE
621797,455779,"Ist das, was ich eine Verbindung an meinen Bildern nach sie machen kann, geladen zu haben?",Is that what I can do to connect my images to them to have loaded?,TO ANNOTATE
55876,721831,Wir foltern nicht,We do not follow,TO ANNOTATE
1360410,324913,"Drop & verwöhnen Pflaster sollte nicht leicht nachweisbar, und ""eine Veränderung ganz der Client-Seite keine Informationen an den Server geschickt oder geschnupft.","Drop & spoil Pflasters should not be easy to detect, and ""a change entirely of the client page does not send or upload information to the server.",TO ANNOTATE
1203898,455127,"Penetranten Ölfarbengeruch in geschlossenen Räumen bannt man schnell, wenn man im Zimmer eine Schale mit SALZ aufstellt.","The hotel is located in a quiet area, close to the beach and the beach.",CONTROL HALL
250083,343166,"Sie fordert, dass dieser Anschlag aufgeklärt wird.",It calls for this attack to be enlightened.,TO ANNOTATE
146499,51061,"Gegenwärtig steht der ebenfalls auf ""ME.","At the moment, it is also on ""ME.""",TO ANNOTATE
500865,160698,Das Hotel des Cépage im Arbois pflegt es ganz besonders.,The Hotel des Cépage in the Arbois maintains it especially.,TO ANNOTATE
274283,424347,"Was spät in die Nacht Zug, der nhi läuft.",What late in the night train that runs nhi.,TO ANNOTATE
694079,1880774,Dann dreht er sich Felix um leckt ihm den Schließmuskel und fingert ihn.,Then he turns around Felix lying the clamping muscle and capturing him.,TO ANNOTATE
1163630,1771431,"Aja seltsam, dieses Mal die E-Mail-Liste kann Geld sein, so lädt die Menschen könnten untu Geldrangliste sowie.","Aja strange, this time the e-mail list can be money, so people could load untu money rankings and.",TO ANNOTATE
284676,929208,") Carole und mit Ihrer Anwendung, erforderlich und fortzusetzen.",") Carole and with your application, necessary and continue.",TO ANNOTATE
734251,138546,"Ich trinke nicht, zu tun, an einem Feiertag oder zwei Glas Bier von Licht.",I do not drink to do on a holiday or two glass of beer of light.,TO ANNOTATE
762439,1299411,X-Traversen mit 4 Armen und starre untere Verbindungspunkte am Ende der Balken.,X-traverses with 4 poor and star low connection points at the end of the bars.,TO ANNOTATE
1177362,1700556,"Als Maß hierfür wird meist der sogenannte Pearl Index benutzt (so benannt nach einem Statistiker, der diese Berechnungsformel einführte).","The term ""Pearl Index"" refers to the term ""Pearl Index"" (or ""Pearl Index"") used to refer to the term ""Pearl Index"" (or ""Pearl Index"").",TO ANNOTATE
804181,262088,"Wenn man es, der König ausschließlich wird berührt und nötigt Ostkunst für seinen Gebrauch im Schnitt sieht.","If you see it, the king is exclusively touched and the need for East art for its use on average.",TO ANNOTATE
826349,1743002,Die Brettln werden angeschnallt und rein geht's ins Skivergnügen.,The boards are sounded up and the ski pleasure is pure.,CONTROL HALL
271617,575742,"Tritt vor, Frankreich, und verbeuge dich.","Take place, France, and bury you.",CONTROL HALL
285421,1771160,Daran wird in dem Bericht nicht gerüttelt.,This is not in the report.,TO ANNOTATE
1487501,220938,"Rechts der gelndegngige Khllastwagen mit einem Fassungsvermgen von 13 m3 (2000 Liter gekhltes Trinkwasser), das benutzt wurde fr die: Schulen der Wste .","On the right of the yellow-degree Khllast truck with a volume of 13 m3 (2000 litres of chilled drinking water), which was used for the: schools of the Wste .",TO ANNOTATE
217783,672999,Also wird den Maßlosen ihr Tun schön gemacht.,So the unseen are made beautiful.,CONTROL HALL
366876,1538114,"Kerle suchen nach Kerlen, mit denen sie chatten können!",Candles search for candles with which to chat!,TO ANNOTATE
742486,161207,Kaum Zeit für ein Getränk Mate de Coca und setzen die Geräte geht's los.,Few times for a drink Mate de Coca and set the equipment off.,TO ANNOTATE
402925,169558,RECHTE DES GEISTIGEN EIGENTUMS 21,RIGHTS OF THE GEISTIGHT EIGENTAL 21,TO ANNOTATE
803899,286793,"Als Hauptwort bezeichnet der Muck den Haufen, der die gepassten und abgelegten Karten enthält.",The main place of Muck is the cluster containing the dealt and dealt cards.,TO ANNOTATE
1827833,1735718,"Die einzige vertretbare nicht ersetzbar ist an der Zeit, denn was nicht geschehen ist an diesem Tag zu dieser Stunde und wird nicht da sein, dass Tag und Uhrzeit, weil einmal das Datum und die Zeit nie, dass Tag und jene Stunde , weil die Zeit nicht zurück, folgt immer.","The only acceptable is not substitutable at the time, because what has not happened on this day at this hour and will not be there that day and time, because once the date and time never that day and that hour , because the time does not return, always follows.",TO ANNOTATE
135575,1374996,Unter anderen wurde auch Verteidigung traniert.,"Among others, defence was also drank.",TO ANNOTATE
996574,1013546,"EHD: Techniker dient auch als High-Speed-Produktion, zum Beispiel hat Phantom gerollt .","EHD: Engineer also serves as a high-speed production, for example, Phantom has rolled .",TO ANNOTATE
925135,717862,"Im Jahr 1993 gibt es eine Umwandlung der ein Manngeschäft-Firma in eine Partnerschaft, deren vier Personen als Aktionäre sind.","In 1993, there was a transformation of a man-man-man-man-man-man-man-man-man-man-man-man-man-man-man-man-man-man-man-man-man-man-man-man-man-man-man-man-man-man-man-man-man-man-man-man-man-man-man-man-man-man-man-man-man-man-man-man-man-man-man-man-man-man-man-man-man-man-man-man-man-man-man-man-man-man-man-man-man-man-man-man-man-man-man-man-man-man-man-man-man-man-man-man-man-man-man-man-man-man-man-man-man-man-man-man",CONTROL HALL
789176,214109,"Ich war ein wenig zu viel Eile, mich als gerade einmal weitere $ 190 - gekostet haben.",I was a little too much haste than just another $190.,TO ANNOTATE
286144,1364827,"Auch lernen, Lack schaffen das Bild befindet sich die.","Also learn, paint create the image is located the .",TO ANNOTATE
892072,744828,"Bei der Korrektur muss die Wölbung der kleinen Schamlippen bewahrt werden, die die Vagina schützen.","When corrected, the wolves of the small sham lips that protect the vagina must be preserved.",TO ANNOTATE
479381,917103,Die gab es erst im Verlauf des Vormittags in den Fächern.,They did not exist until the morning in the subjects.,TO ANNOTATE
405933,1649974,Tragfähigkeit pro boden bei gleichmässiger verteilung der last.,Portability per soil with a uniform distribution of the last.,TO ANNOTATE
133476,1340875,Schleifen von kleinen und großen Flächen.,Loops of small and large areas.,TO ANNOTATE
1723944,106439,Dieser Muskattellerwein Word nicht nut durch sseine markete gelbbernsteine Farbe mit Goldtönen sondern auch durch einen Honigbukett mi teinem herrlichen Zitrone - und Orangehauch.,"This music producer wine Word does not nut through its marked yellowstone color with gold tones, but also through a honey bouquet mi teinem glorious lemon - and orangehauch.",TO ANNOTATE
194812,1091774,Zum großen Fang mit unseren Profitipps...,For the big catch with our professional carpets...,TO ANNOTATE
378889,1384949,20 Jahre verwöhnen Sie kleine und große Werte mit Ihren Knospen.,"For 20 years, you will be spoilt for small and large values with your balls.",TO ANNOTATE
45351,844813,Zum Änderungsantrag 3,On Amendment No 3,TO ANNOTATE
471847,576775,"Wenn ich hier Mist reinschreibe, soll mich der Schlag treffen!","If I rewrite my mishap here, let me meet the blow!",TO ANNOTATE
377710,116788,"Früher in diesem Major Upgrade Unterwelten erheblich, da entwickelt.",Formerly developed in this major upgrade sub-worlds.,TO ANNOTATE
317712,786336,"Beachten Sie, dass die Nähte und Schlagen und Rennen.",Note that the seams and beats and races.,TO ANNOTATE
723441,867732,"Sie können schreiben Sie Ihre eigenen Server, und die Menschen könnten Upload-Zeug auf Sie!","You can write your own server, and people could upload to you!",TO ANNOTATE
70602,561648,Die Indianer schlagen zurück,The Indians Suggest Back,TO ANNOTATE
313421,1353084,"Es ist hundert davon ausgegangen, unter den einhundert und zwei.",It has assumed one hundred and two of them.,TO ANNOTATE
1291147,475800,9. Juni 2010: Gratia vom Blütengarten*A hat in den frühen Morgenstunden einem wunderbaren Kitte (Katerchen) das Leben geschenkt.,"June 9, 2010: Gratia of the flower garden*A gave life to a wonderful kitchen (cater).",TO ANNOTATE
253912,896388,"Jan, kannst du nicht mal Madonna auflegen?","Jan, can't you even put Madonna?",TO ANNOTATE
110333,442192,Installation ist sehr einfach und schnell.,Installation is very simple and fast.,GOOD
1181626,1847679,"Der Schütze, der gewöhnlich gedreht wird, um eine Wette auf den Sieg oder die Line nicht gewinnen Line für seinen ersten Platz statt.",The shooter that is usually rotated to bet on the victory or the line does not win line for its first place instead.,TO ANNOTATE
195019,1684609,2010 ist für Sudan ein besonders entscheidendes Jahr.,2010 is a particularly crucial year for Sudan.,GOOD
89342,989848,Diese Politik führt zu nichts.,This policy is doing nothing.,TO ANNOTATE
1122779,911466,"Die Plateaupantoletten sind von The Little Shoe Box, die Pumps von Ritual bzw. Pleaser.","Plateaupantolettes are from The Little Shoe Box, the pumps of ritual or pleasant.",TO ANNOTATE
355425,269942,Das Muster des auszugebenden Datums-/Zeit- String .,The pattern of the date/time string to output.,TO ANNOTATE
180003,1555271,"Wir brauchen nicht weniger, sondern mehr Europa!","We need more Europe, not less!",GOOD
1465480,753861,"Das war beim Frühstück, beim Essen, während der Sitzungen nicht nur im außenpolitischen Ausschuß die zentrale Frage, wo in Freund oder Feind, um es übertrieben zu sagen, eingeteilt wurde.",The room was very small and the bed was very comfortable and the bed was very comfortable.,CONTROL HALL
369764,1588730,In diesem Fenster kann die Groß- und Kleinschreibung angepasst werden.,"In this window, the case-sensitive and case-sensitive can be adjusted.",TO ANNOTATE
1753397,1584104,"Sie haben Erwähnten vergessen, wie, den Berühmten md5 zu finden und wenn der Name utillisatuer und der Mdp und fragen, wie man verfährt oder man schuldig ist, den Namen von Benutzer unbedingt connaitre?",You forgot mentioned how to find the famous md5 and when the name utillisatuer and the Mdp and ask how to do or how to owe to the name of user necessarily connaitre?,TO ANNOTATE
1051430,761509,"""Du gleichst mir ganz und gar"", wiederholte Forti, der nun die Lumpen des Bettlers angezogen hatte.","""You like me all,"" Forti repeated, who had now attracted the lumps of the beggar.",TO ANNOTATE
476954,421172,"Es ist uns keineswegs gelungen, den Weizen von der Spreu zu sondern.","We have not succeeded in getting the wheat from the chaff, but from the chaff.",TO ANNOTATE
236061,473627,Müssen die Verkehrsmittel aus- oder abgewählt werden ?,Do you need to opt-out or opt-out of transport?,TO ANNOTATE
161354,1258600,Bislang wurde aus Europa nur gepredigt.,"So far, Europe has only been preached.",TO ANNOTATE
1427750,483454,Mit d revolutionär neu U/min Aufnahme recht von d Zigarette hell wir sein fähig zu Mass Drehkraft und anzeigen ein DYNO-plotten Diagramm.,With d revolutionary new U/min image right of d cigarette we light its ability to scale rotary force and display a DYNO-plot chart.,TO ANNOTATE
1568283,1629940,"Am Ende der Tagung geschnitten, müssen wir schützen, die mit einigen der dickere Scheiben Speck und Rinde, die am Anfang, So dass die oberflächliche Fett ist immer frisch.","At the end of the meeting cut, we must protect those with some of the thicker discs bacon and bark, which at the beginning, so that the superficial fat is always fresh.",TO ANNOTATE
1918204,726064,"Ich muss bekennen, dass die Versuchung manchmal ich gesiegt hat von einen Milchteller unter meinem Bett legen, damit der Roman bis ihn war und so sie während ein bisschen zu vergessen, aber im Augenblick habe ich die Notwendigkeit gefühlt, mich sie zu ducken, um zu versuchen, und bisbisear hübsche Sachen zu reichen bis es sie gegen mich anziehen und es sie liebkosen können.","I have to admit that the temptation sometimes I have won from a milk under my bed so that the novel was up to him and so that they can forget them during a little, but at the moment I felt the need to duck them to try, and bisbisear pretty things to stretch them up to it attract them against me and they can love it.",TO ANNOTATE
243290,1870139,"Dieser Hinweis gilt natürlich, dass Strom aus der folgenden.","This notice applies, of course, that electricity from the following.",TO ANNOTATE
1403751,258996,"Diätnektare sind Kalorien- bzw. zuckerreduziert, deswegen schmecken sie nicht nur Figurbewussten, sondern auch Diabetikern gut.","Diet nectars are reduced in calories and sugar, so they do not only taste figur consciousness, but also diabetics.",TO ANNOTATE
1737644,744073,"- daß die Mitgliedstaaten den Erzeugern, die Flächen, welche - im Rahmen der Stillegung von Flächen für den Anbau landwirtschaftlicher Kulturpflanzen - stillgelegt worden sind, dazu nutzen, im Niederwaldbetrieb mit Kurzumtrieb Biomasse zu gewinnen, Beihilfen gewähren.",- that Member States grant aid to producers who have set aside land for the cultivation of arable crops in the context of setting-aside to produce biomass in a short-wheel-driven low-wood plant.,TO ANNOTATE
1260463,1436864,"Kalmare und IlIex-Arten, gefroren entweder ganz oder Fangarme und Flossen, zur Verarbeitung bestimmt50041.4.97 -","Kalmare and IlIex species, frozen either whole or catch arms and fins, destined for processing50041.4.97 -",TO ANNOTATE
707778,818175,Die Betonnung ist auf der ausgegliechenen Zyrkulation und Limphenzulauf.,The emphasis is on the sprawling cyrculation and limit.,TO ANNOTATE
578617,843550,"Von, wo du weg erhältst, ist yhe Wohnung 50 Meter auf dem Recht.","From where you get away, yhe apartment is 50 meters on the right.",TO ANNOTATE
638712,1538989,Conny ist eine devote schmerzgeile Sau - so hatte mir ihr Master sie vorgestellt.,Conny is a horny sauce - so her master had presented her to me.,TO ANNOTATE
372260,763171,Kawan fistet noch das aufgefickt Loch von Sven.,Kawan still lists the fucked hole of Sven.,TO ANNOTATE
1935894,1762160,"Ist der Anschlag am zweiten Konflikt ganzen Welt interruppe definitivamente die Arbeitsplätze nella Tal der Pfützen beiden Ziffern l'effettiva valorizzazione der comprensorio sich warten, sie sind durch den letzten Jahren mehr, wenn nicht, auch dank der Bekanntheit der grandi Stichprobe oder Skifahren Zeno Colò, Cell Sägen beiden siegreichen Chierron, l'Abetone selbst ist ein Gleichrichter un der mehr Berühmtheit stationären sciistiche d'Italia.","Is the attack on the second conflict whole world interrups definitively the jobs nella valley of the puddles two digits l'effettiva valorizzazione of comprensorio wait, they are by the last years more, if not, thanks also to the publicity of the great sample or skiing Zeno Colò, cell saws both victorious chierron, l'Abetone itself is an equator one of the more famous stationary sciistiche d'Italia.",TO ANNOTATE
1174256,439434,"Eine Rechtstrunkierung ist voreingestellt: ""Ameise"" findet auch ""Ameisen"", ""Ameisenbär"".","A legal strunking is preset: ""Ameise"" also finds "" ants,"" "" ants.""",TO ANNOTATE
190881,918192,"• Verbreitung von falschen Informationen oder Schmähschriften,","• dissemination of false information or lubrication,",TO ANNOTATE
67016,545709,Er hat in diesem Zusammenhang,He has done so.,TO ANNOTATE
407425,1535936,Wird sicherlich auch in der Reise-Hilfediesen wunderschönen Fluss.,Will certainly also be in the travel relief meadows beautiful river.,TO ANNOTATE
629828,1482045,"Muss Zeile zu beginnen eingegeben werden auf der, und es muss Raum ein, gefolgt von.","Must start line to be entered on the, and there must be space followed by.",TO ANNOTATE
1444631,1564290,"Mehl, das sich zur Herstellung aller trockenen Keksarten; BISKUITTEIG und-ROLLEN, und SANDKUCHEN eignet.","Meal suitable for the production of all dry biscuits; BISKUITTEIG and-ROLLEN, and SANDKUCHEN.",TO ANNOTATE
1514414,276866,"Nun müssen Wolves ""Arbeitsentgelt des Abendessens Urso und denken, wie Geselligkeit"" und wie viele Schulterklopfen statt ""das Abendessen werden zwischen den beiden.","Now Wolves must ""work remuneration of dinner Urso and think like sociability"" and how many shoulder clops instead of ""the dinner will be between the two.",TO ANNOTATE
136404,416788,Wo soll Schweden also einsparen?,"Where, then, is Sweden to save?",TO ANNOTATE
1819471,809647,"Der Hund, wo er wohnt mit seiner Mutter und Geschwister, lernen die Bedeutung der knurren und beißen, dh wenn die Jungtiere die Mutter zum Beispiel stören, erhält ein Knurren des Hundes aus und notieren Sie den Druck Ihrer Zähne .","The dog, where he lives with his mother and siblings, learn the meaning of the burry and bite, i.e. if the young animals interfere with the mother for example, gets a burry of the dog out and note the pressure of your teeth .",TO ANNOTATE
407548,582203,Ein richtig dicker Gummischwanz in der Fotze.,A really big rubber dancing in the pussy.,TO ANNOTATE
1283196,597714,"Vielleicht denken Sie, dass, wenn es bewölkt ist nicht nach Hause gekommen, dass mit goldenen tan, dass man nur in den Bergen zu bekommen?","Perhaps you think that if it has not come home, that with golden tan, that you only get in the mountains?",TO ANNOTATE
693866,854267,"Die Kenner sagen, dass die Abdeckung richtig darstellt, ist der Niedergang der Glam.",The experts say that the cover is correct is the decline of the glam.,TO ANNOTATE
1669672,637401,Żory - das Gelände das bei der Allee vereinigte Europa und Heimatarmee Die bei der Allee des vereinigten Europas und Heimatarmee auf der Siedlung der schlesischen Aufständischen in der Entfernung der...,Żory - the site of the united Europe and the homeland army united at the avenue of the united Europe and the homeland army on the settlement of the Silesian insurgents at the distance of the...,TO ANNOTATE
772144,1481664,BEKÄMPFUNG VON ARMUT UND SOZIALER AUSGRENZUNG,EMPLOYMENT OF ARMUT AND SOCIAL ACTION,TO ANNOTATE
706942,1759070,"Schaber Lebensmittel Schaufeln aus Eisen dröhnen, verbeulen, rosten und sind...","Sheep food shovels made of iron drill, spool, roses and are...",TO ANNOTATE
100796,54285,Beschlüsse im Wege des Schriftlichen Verfahrens,Written decisions,TO ANNOTATE
52291,1226562,1. unter Hinweis auf,1. with reference to,TO ANNOTATE
483450,421006,Mrd. €Exp/ImpJährliche VeränderungAnteil Lettlands,Billion €Exp/Imp yearly changeShare of Latvia,TO ANNOTATE
380591,877589,Am besten ein kurzes Glas verwenden und die Minze hinein geben.,It is best to use a short glass and enter the mint.,TO ANNOTATE
713307,1042413,Letztlich gelangte kein Rindfleisch der Klägerinnen FCTL oder Meatal in irgendein Einfuhrland.,"Finally, no beef from the applicants FCTL or Meatal arrived in any importing country.",TO ANNOTATE
623951,270217,Bei Eingabe des Hafenabrissbefehls werden Schiffsbauten und -umbauten abgebrochen.,"When entering the port breakdown command, ship structures and structures will be cancelled.",TO ANNOTATE
1019685,1357784,"""ZUR RICHTLINIE IM BEREICH DER BESTEUERUNG VON ZINSERTRÄGEN","""On the occasion of the IMPORTANT IN THE REPORT OF THE PART OF CINSERTRIES",TO ANNOTATE
325236,1654147,Eine Aufgabe kann sich auf einen Datensatz in einem Formular beziehen.,A task can refer to a row in a form.,TO ANNOTATE
1462941,1546710,"Also, wenn zusammenfassen, um von botkám SpecialSportu pěknejch Springen bekommen ein paar Dinge extra - insgesamt 674 für Kaček.","So, if summarized to get a few things extra from botkám SpecialSportu pěknejch jumps - a total of 674 for Kaček.",TO ANNOTATE
1891434,179163,"Ein Projekt auf 32 Bit eingestellt werden Arbeitsgruppen ermöglichen ein Höchstmaß an Qualität in allen fügen wir digitale Elemente wie Farbverläufe, bei der Umsetzung der Filter wie Weichzeichner und lassen Sie die Farbkorrekturen verursachen keine Schäden in Höhe von 8-Bit-Bilder, mit denen wir , aber wieder verlangsamen kann unsere Arbeit bis zu 400%.","A project set to 32 bit working groups allow a maximum of quality in all we add digital elements such as color sequences, in the implementation of filters like softeners and leave the color corrections do not cause damage to the amount of 8 bit images we use, but again slow down our work up to 400%.",TO ANNOTATE
1630445,1728538,"Ein Faible für das Theater und seine Musik ermöglichten es Dermot Hyde, einige anerkannte Musikstücke zu schreiben, unter anderem für den Royal Shakespeare Company Regisseur Michael Bogdanov .","He was born in New York City , New York . He was born in New York , New York , New York , New York .",CONTROL HALL
1065489,98239,"DIE HERAUSFORDERUNGEN, VOR DENEN DIE LÄNDER DER REGION STEHEN",THE REGION's COUNTRIES,TO ANNOTATE
630598,1906262,"Der Bumerang, überlieferter Sport, hat verführt Tausende von Abschußgeräte.","The boomerang, sport handed over, has seduced thousands of shutters.",TO ANNOTATE
64167,1454736,Annahme im schriftlichen Verkehr,Adoption in written transport,TO ANNOTATE
787442,320372,"Bier zapfen wir für Sie Staropramen, sowohl dunkles als auch helles.","Beer we tap staropramen for you, both dark and bright.",TO ANNOTATE
746363,850957,"Variante B w hlt, um das Dock an der Basis der Schlucht s dlich verwenden.",A variant B w w wlt to use the dock at the base of the gorge .,TO ANNOTATE
1028548,322509,"Diese kann man immer ganz leer trinken, in ganz vollen und ganz leeren Falschen schwappt nämlich nichts umher.","You can always drink it empty and empty, because nothing is swapping around.",TO ANNOTATE
1076739,1207867,4.Preparate die zerbröckeln und mit den Händen kneten zerbröseln Mehl Butter und Zucker.,4.Preparates that crumble and with their hands crumbled flour butter and sugar.,TO ANNOTATE
367159,945866,"Die Trotzkisten wurden älter, wenn auch nicht erwachsener.","The despite boxes became older, if not more adult.",CONTROL HALL
1005428,612514,"Hagen Betzwieser für die Sackkarre, Multiblitz Arme und den Folienspiegel.","Hagen Betzwieser for the Sackkarre, Multiblitz arms and the film mirrors.",TO ANNOTATE
71702,1903563,Wir müssen Folgendes erreichen:,We must:,TO ANNOTATE
1025573,11219,Das Einbeinstativ: das Einbeinstativ als der Name vermuten lässt ist ein Stativ ist ein Fuß ....,The single legstativ: the single legstativ as the name suggests is a tripod is a foot ....,TO ANNOTATE
656410,230466,"Die wurden nämlich teilweise mit Plutonium bestückt, für die Vorbereitung des Atomwaffenprogramms.","After all, some of them have been plutonium-plutonium-plutonium-plutonium-plutonium-plutonium-plutonium-plutonium-plutonium-plutonium-planning for the preparation of the nuclear weapons programme.",TO ANNOTATE
672359,1204986,"0,5 m zwischen der Unterlage und dem GMB in Richtung der Abschläge eingesteckt.",0.5 m between the document and the GMB in the direction of the discounts.,TO ANNOTATE
1137374,1106744,"Odlučujeno uns keinen Sinn, es mit diesen vielen Reisen haben nicht viele Möglichkeiten für Manöver zu schieben.","Odlučujeno us no sense, there are not many possibilities for manoeuvring with these many journeys.",TO ANNOTATE
94308,962948,Wo ist die Europäische Union?,Where is the European Union?,GOOD
1289140,1195452,"In der Debüt-Relais Ich war mit der ""Würze"" und das selbstverständlich gerne gut gegangen ist, sondern stehen könnte eine bessere Chance haben.","In the Debüt-Relais I was with the ""spice"" and that of course liked to go well, but could stand a better chance.",TO ANNOTATE
690499,1459573,Ein normalen Zick-Zack Stich für das Nähen der Unterseite des Führungsrands.,A normal zigzag key for sewing the bottom of the edge of the leadership.,TO ANNOTATE
529961,1590277,"""Spannender"" ist die Sache bei Dingen die man nur sehr selten gebraucht.","More ""spanning"" is the thing about things that you seldom need.",TO ANNOTATE
339962,1418302,Sie haben sich in der Wittheit zu Bremen zusammengeschlossen.,You have joined forces in the widest possible way to Bremen.,TO ANNOTATE
328481,785430,"Wenn Sie nicht Ihren PC Wrack, hast du gut!","If you do not have your PC wreck, you have good!",TO ANNOTATE
224447,634530,Die Mannshaft ist vorbereitet zum Rafting!,The man's stick is ready for rafting!,TO ANNOTATE
200833,563616,Stomatologie ist unser Beruf und unsere Leidenschaft.,Stomatology is our profession and our passion.,GOOD
252961,1359978,Ein politisches Armutszeugnis und Augenwischerei!,A political indictment and eyewash!,TO ANNOTATE
855749,800348,"Nicht einmal seine persönliche Vernehmung rechtfertigen: ""Ich mag Sie, um tausend Jungs, passt zu mir sagen?","Not even justify his personal interrogation: ""I like you to say a thousand boys, fits to me?",TO ANNOTATE
1289330,318273,"""In Argentinien walten der Anklagefinger und die leichte Beurteilung die von Gerüchten und Tratsch zwischen einen und anderen ausgeht"", glossierte er.","""In Argentina, the indictment finger and the easy appraisal of rumors and rashes between one and another,"" he concluded.",TO ANNOTATE
844461,1520731,"3 Ich fühle mich wie dort sind effektiver in der vierten einige, auch nachdem Sie, dass nach sechs realisieren.","3 I feel like there are more effective in the fourth one, even after you realize that after six.",TO ANNOTATE
1247692,1053949,"Die Höhe des Widerstandes ist für das Währungspaar in der Höhe der Förderung, aus denen die Währung ist abgestoßen verwandelt, wenn Rollback.",The level of resistance is for the currency pair at the level of promotion from which the currency is turned off when rollback.,TO ANNOTATE
236467,1027125,Doppeltalent wurde von der Körkommission hervorgehoben.,Doubling was highlighted by the Commission of the bodies.,CONTROL HALL
548491,348898,"- Fragte mein Freund, war halb katatonen durch die Kurven ...","- Ask my friend, was half catatone through the curves ...",TO ANNOTATE
1684890,1029685,"- Ihr nehmt Öl und ihr fettet eine Pfanne antiaderente ein, du davon ein Schöpfkelle zu warmer Pfanne und ihr streut gleichmäßig die Zusammensetzung sie, kreisend, Pfanne.","- Take oil and you save a pan antiaderente, you have a crunch of creatures to warm pan and you even stretch the composition of it, circular, pan.",TO ANNOTATE
803535,587700,"Der Kommentar-Band kommt, ergänzend zum Faksimile, in einem Einband aus Marokko .","The commentary volume comes in addition to the facsimile, in a band from Morocco .",TO ANNOTATE
102915,1788211,S. 18-19 dieser Mitteilung).,18-19 of this Communication).,TO ANNOTATE
483169,1212718,"Und es ist, von ihm hat Nachrichten seit den 594 nach Christ alt.","And it is, of him has had news since the 594 to Christ.",TO ANNOTATE
221298,1303145,Bevölkerungswachstum usw.) am krassesten zutage.,"population growth, etc.).",TO ANNOTATE
729172,564864,"← World of Warcraft Client Service-Einheiten zu kleiden spielen, Chinese Simplified erscheinen?","À World of Warcraft client service units to play dress, Chinese Simplified appear?",TO ANNOTATE
1604283,705660,"Das geld folgen, die Leute, die Geld haben, behaupten zu bringen, dass es auf eine Art zu machen, dass allen helfen, wird ihnen am schluss mehr bringen, als es den anderen Weg zu machen.","This money follows, the people who have money claim to make it in a way that helps everyone will ultimately bring them more than to make the other way.",TO ANNOTATE
1375999,342326,Während der ersten Stunde gleich nach der feierlichen Eröffnung wurden 328 Halbliter Švejks geliebten Lagerbiers Pilsner Urquell ausgeschenkt.,"During the first hour immediately after the opening ceremony, 328 Halbliter Švejk's beloved warehouses Pilsner Urquell were awarded.",TO ANNOTATE
1880586,1921764,"Electro Pop Rock Gruppe Französisch in Rennes, Flügelbutt cqfd.com ist das Soloprojekt des Sängers Autres.En den Kampf live am 17. Mai, Elektro-Pop-Band Franch in Rennes, Flügelbutt Ist der Plan der Solo-Sänger der Band andere.","Electro Pop Rock Group French in Rennes, Flügelbutt cqfd.com is the solo project of singer Autres.En den Kamp am 17. Mai, Elektro-Pop-Band Franch in Rennes, Flügelbutt ist der Plan der Solo-S singers der Band andere.",TO ANNOTATE
590622,650455,Schau LOSE von Tätowierungen und GI 'Sie viel Zeit.,Look LOSE of tattoos and GI 'you have a lot of time.,TO ANNOTATE
104979,1545124,"""Raucher sterben früher.","""Smokers die earlier.",TO ANNOTATE
951674,1647206,Schon schnell nach dem Aufwachen verpuppen sie sich und kriechen im Mai als Käfer aus der Puppe.,"Soon after the awakening, they dumped themselves and in May they kissed out of the doll.",TO ANNOTATE
388702,1259509,Hier wurde 1256 Maria von Brabant enthauptet.,Here 1256 Maria was decapitated by Brabant.,TO ANNOTATE
1092587,519446,"Verwenden Sie keine crack, keygen oder ähnliches Material: sie sind oft Systems veröffentlicht mit dem besonderen Zweck ""Angriff auf ein.","Do not crack, key or similar material: they are often published systems with the special purpose of ""attacking one.",TO ANNOTATE
1803548,821000,"Brothers ihm der ""Herr"" Vielen Dank für diesen Tag und ich kann diese Meldungen mit Ihnen teilen, denn jeder Tag ist notwendig, alles zu wissen über das, was kostbarsten Gaben, die wir vorgibt um Gnade kann ihm, der uns liebt stark .","Brothers to him the ""Mr"" thank you for this day and I can share these messages with you, because every day is necessary to know everything about what most precious gifts we claim for grace can be him who loves us strong .",TO ANNOTATE
670962,1211252,"Der Kasten ist ein Schmuckteil, der zum Äußere des Gebädes passt.",The box is a jewel that fits the edges of the building.,TO ANNOTATE
211692,1148666,Zum Kochen bringen und wieder abschöpfen.,To cook and finish again.,CONTROL HALL
1008228,451214,"Fruchtfliegen sind keine Intelligenzbestien, aber ""büffeln"" fällt ihnen auch nicht leichter als uns.","Fruit fly is not intelligence, but it is no easier for them to ""buff"" than us.",TO ANNOTATE
629073,640385,"Und jetzt bin ich in Tjumen nicht wollen - nur, wenn die Eltern zu sehen.",And now I am in Tjumen not want - only when the parents see.,TO ANNOTATE
388620,1265996,"Maria Sara auf ""Bin ich hier nicht die Mutter bin dein?","Maria Sara on ""In here I am not the mother is thine?",TO ANNOTATE
93004,1684484,Die ganze Region steht Kopf.,The whole region is headed.,TO ANNOTATE
1577767,948913,"Rechnet Ihr KOSTENVORANSCHLAG ONLINE diskontierte, für jede Wohneinheit stehen für Strand sowie ein Abstellplatz für (ein) 1 auto Konstenlos zur Verfügung.","If your FREE ORANSCHLAG ONLINE is discounted, there is a parking space for (one) 1 auto constance available for each unit of living.",TO ANNOTATE
